# ----------------------------------------
# Report CSV Export
# Account: Schrott24
# Property: GA4 - metaloop.com
# ----------------------------------------
# 
# All Users
# Start date: 20230201
# End date: 20240403
Google Ads campaign,Key events,Ads cost,Cost per key event interaction,Ads clicks,Ads cost per click,Total revenue,Return on ad spend
GER_Search_GEN,1433.194836,15798.297384,11.023133064093736,29401,0.5373387770483997,0,0
AT_Search_GEN,469.912058,10865.628664,23.122685359991337,10436,1.041167944039862,0,0
CH_Search_GEN,294.766141,8222.914868,27.896402348328056,5832,1.4099648264746227,0,0
ES_Search_GEN,179.428423,5616.34,31.301283855122552,12391,0.45325962392058755,0,0
GER_Search_Brand,75.568308,1390.77,18.404143705321548,1449,0.9598136645962734,0,0
AT_Search_Brand,53.333449,453.99,8.512294038962303,1343,0.3380416976917349,0,0
EU_Search_GEN_EN,35.831176,3348.15,93.44236985132724,3221,1.0394753182241538,0,0
EU_Search_Brand_EN,5.201291,71.62,13.769658340592748,170,0.4212941176470588,0,0
CH_Search_Brand,1.169815,157.73,134.83328560498882,202,0.7808415841584158,0,0
ES_Search_Brand,0.025825,19.21,743.8528557599225,106,0.18122641509433962,0,0
EU_EN_SmartDisplay,0,715.114626,0,2866,0.249516617585485,0,0
